model,horizon,split,threshold,train_size,val_size,test_size,ensemble,accuracy,precision,recall,f1,roc_auc
catboost,30d,70/15/15,0.45,71236,15264,15266,False,0.5312,0.1546,0.716,0.2542,0.6635
rnn,30d,70/15/15,0.15,71236,15264,15266,False,0.7664,0.1738,0.2911,0.2176,0.6086
gb_ensemble,30d,70/15/15,0.35,71236,15264,15266,True,0.5713,0.1634,0.6896,0.2642,0.6687
tri_ensemble,30d,70/15/15,0.3333,71236,15264,15266,True,0.5407,0.1567,0.7107,0.2568,0.6643
logreg,60d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6624
rf,60d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6738
xgboost,60d,80/20,0.05,65129,16283,20354,False,0.4777,0.4688,0.9996,0.6382,0.6968
lightgbm,60d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6713
catboost,60d,80/20,0.05,65129,16283,20354,False,0.4666,0.4635,1.0,0.6334,0.6938
rnn,60d,80/20,0.05,65129,16283,20354,False,0.4609,0.4609,1.0,0.631,0.6551
gb_ensemble,60d,80/20,0.05,65129,16283,20354,True,0.4609,0.4609,1.0,0.631,0.6974
tri_ensemble,60d,80/20,0.05,65129,16283,20354,True,0.4609,0.4609,1.0,0.631,0.6769
logreg,60d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6626
rf,60d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6753
xgboost,60d,70/30,0.05,56988,14248,30530,False,0.4779,0.4688,0.9997,0.6383,0.6979
lightgbm,60d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6718
catboost,60d,70/30,0.05,56988,14248,30530,False,0.465,0.4628,1.0,0.6328,0.6972
rnn,60d,70/30,0.05,56988,14248,30530,False,0.4609,0.4609,1.0,0.631,0.6569
gb_ensemble,60d,70/30,0.05,56988,14248,30530,True,0.4609,0.4609,1.0,0.631,0.6998
tri_ensemble,60d,70/30,0.05,56988,14248,30530,True,0.4609,0.4609,1.0,0.631,0.6791
logreg,60d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.6602
rf,60d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.673
xgboost,60d,75/25,0.05,61059,15265,25442,False,0.4764,0.4681,0.9997,0.6377,0.6952
lightgbm,60d,75/25,0.05,61059,15265,25442,False,0.4609,0.4609,1.0,0.631,0.671
catboost,60d,75/25,0.05,61059,15265,25442,False,0.4689,0.4646,1.0,0.6344,0.6949
