accuracy,precision,recall,f1,roc_auc,model,horizon,split,threshold,train_size,val_size,test_size,ensemble
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6752478538098059,rf,60d,70/15/15,0.05,14000,2999,3001,False
0.46384538487170945,0.4629506008010681,1.0,0.6328998402920374,0.6828005045970326,xgboost,60d,70/15/15,0.05,14000,2999,3001,False
0.4628457180939687,0.462487495831944,1.0,0.6324669402644779,0.680977058167137,lightgbm,60d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6832335842917371,catboost,60d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6845062444776195,gb_ensemble,60d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6794156037340895,tri_ensemble,60d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46225,0.46225,1.0,0.6322448281757566,0.6501932641539938,logreg,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6742144408665496,rf,90d,80/20,0.05,12800,3200,4000,False
0.4635,0.462828535669587,1.0,0.632785763175907,0.6832743345253782,xgboost,90d,80/20,0.05,12800,3200,4000,False
0.46325,0.4627127127127127,1.0,0.63267750213858,0.6810069096366564,lightgbm,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6825611441620094,catboost,90d,80/20,0.05,12800,3200,4000,False
0.46225,0.46225,1.0,0.6322448281757566,0.6845851816818822,gb_ensemble,90d,80/20,0.05000000000000001,12800,3200,4000,True
0.46225,0.46225,1.0,0.6322448281757566,0.679783686961603,tri_ensemble,90d,80/20,0.05000000000000001,12800,3200,4000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6458294383476239,logreg,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6710994537502553,rf,90d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6782711817471387,xgboost,90d,70/30,0.05,11200,2800,6000,False
0.46416666666666667,0.46309285237140946,1.0,0.6330327588174866,0.6819676232956445,lightgbm,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6826912664744625,catboost,90d,70/30,0.05,11200,2800,6000,False
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6834260288713011,gb_ensemble,90d,70/30,0.05000000000000001,11200,2800,6000,True
0.46216666666666667,0.46216666666666667,1.0,0.6321668756411718,0.6753749327678438,tri_ensemble,90d,70/30,0.05000000000000001,11200,2800,6000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6529579698626342,logreg,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6779227324682398,rf,90d,75/25,0.05,12000,3000,5000,False
0.4634,0.4627553063676412,1.0,0.6327173169062286,0.6834109797773805,xgboost,90d,75/25,0.05,12000,3000,5000,False
0.4636,0.4628479871820549,1.0,0.632803943044907,0.6836034397554407,lightgbm,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6823831855634418,catboost,90d,75/25,0.05,12000,3000,5000,False
0.4622,0.4622,1.0,0.6321980577212419,0.6857718329029,gb_ensemble,90d,75/25,0.05000000000000001,12000,3000,5000,True
0.4622,0.4622,1.0,0.6321980577212419,0.6819400931306754,tri_ensemble,90d,75/25,0.05000000000000001,12000,3000,5000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6481219070138817,logreg,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6764068301754342,rf,90d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6845617016734709,xgboost,90d,65/35,0.05,10400,2600,7000,False
0.4622857142857143,0.4622088869838548,1.0,0.6322063709204612,0.6839530286889536,lightgbm,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6800946651313345,catboost,90d,65/35,0.05,10400,2600,7000,False
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6851945951382518,gb_ensemble,90d,65/35,0.05000000000000001,10400,2600,7000,True
0.46214285714285713,0.46214285714285713,1.0,0.6321446018563752,0.6797436734258226,tri_ensemble,90d,65/35,0.05000000000000001,10400,2600,7000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6467489609597974,logreg,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6743742893205142,rf,90d,60/40,0.05,9600,2400,8000,False
0.462375,0.462240560140035,1.0,0.6322359982898674,0.6801533247872119,xgboost,90d,60/40,0.05,9600,2400,8000,False
0.46225,0.4621827728466058,1.0,0.6321819425444597,0.6808751856197854,lightgbm,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6782947225111893,catboost,90d,60/40,0.05,9600,2400,8000,False
0.462125,0.462125,1.0,0.6321278960417201,0.6822309965979161,gb_ensemble,90d,60/40,0.05000000000000001,9600,2400,8000,True
0.462125,0.462125,1.0,0.6321278960417201,0.6776183413940655,tri_ensemble,90d,60/40,0.05000000000000001,9600,2400,8000,True
0.462,0.462,1.0,0.6320109439124487,0.6467199544569433,logreg,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6691633374370364,rf,90d,60/20/20,0.05,12000,4000,4000,False
0.46375,0.4628099173553719,1.0,0.632768361581921,0.6746072816588617,xgboost,90d,60/20/20,0.05,12000,4000,4000,False
0.4635,0.4626940410615924,1.0,0.6326600479287915,0.6798220270281143,lightgbm,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6780481561499219,catboost,90d,60/20/20,0.05,12000,4000,4000,False
0.462,0.462,1.0,0.6320109439124487,0.6797172971080964,gb_ensemble,90d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.462,0.462,1.0,0.6320109439124487,0.6726446957627255,tri_ensemble,90d,60/20/20,0.05000000000000001,12000,4000,4000,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6523636457850335,logreg,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6752478538098059,rf,90d,70/15/15,0.05,14000,2999,3001,False
0.46384538487170945,0.4629506008010681,1.0,0.6328998402920374,0.6828005045970326,xgboost,90d,70/15/15,0.05,14000,2999,3001,False
0.4628457180939687,0.462487495831944,1.0,0.6324669402644779,0.680977058167137,lightgbm,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6832335842917371,catboost,90d,70/15/15,0.05,14000,2999,3001,False
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6845062444776195,gb_ensemble,90d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.46217927357547484,0.46217927357547484,1.0,0.6321786690975387,0.6794156037340895,tri_ensemble,90d,70/15/15,0.05000000000000001,14000,2999,3001,True
0.5354881706097967,0.1552511415525114,0.7062314540059347,0.2545454545454545,0.652850179556411,stacking_ensemble,30d,70/15/15,0.1,14000,2999,3001,True
